prim,x,y,z,yaw_deg
/World/TestBox,0.2501,0.0431,0.029999999999999992,227.2
/World/TestBox1,-0.3365,-0.0664,0.03,260.66
/World/TestBox2,0.2656,0.163,0.04187059957553531,198.7
