prim,x,y,z,yaw_deg
/World/TestBox,-0.2511,0.1536,0.029999999999999992,324.94
/World/TestBox1,-0.3171,-0.0211,0.03,309.6
/World/TestBox2,0.2546,0.0961,0.04187059957553531,66.13
