prim,x,y,z,yaw_deg
/World/TestBox,-0.2566,-0.2884,0.029999999999999992,249.29
/World/TestBox1,0.3167,-0.198,0.03,296.12
/World/TestBox2,0.3007,0.0128,0.04187059957553531,351.0
