prim,x,y,z,yaw_deg
/World/TestBox,-0.3314,0.1273,0.029999999999999992,66.85
/World/TestBox1,0.1885,0.2534,0.03,24.02
/World/TestBox2,-0.3051,0.2486,0.04187059957553531,239.41
