prim,x,y,z,yaw_deg
/World/TestBox,-0.1501,0.2985,0.029999999999999992,75.92
/World/TestBox1,0.2524,0.2148,0.03,306.27
/World/TestBox2,0.3686,-0.1069,0.04187059957553531,285.0
