prim,x,y,z,yaw_deg
/World/TestBox,-0.2035,-0.3311,0.029999999999999992,156.79
/World/TestBox1,-0.2617,-0.1991,0.03,50.67
/World/TestBox2,0.2499,-0.1179,0.04187059957553531,25.35
