prim,x,y,z,yaw_deg
/World/TestBox,0.3261,-0.1704,0.029999999999999992,259.67
/World/TestBox1,0.1837,0.3378,0.03,307.05
/World/TestBox2,-0.2521,0.1753,0.04187059957553531,41.21
